,D
1,2782300021-03
2,2782300096-01
3,2782300124-03
4,2782300011-03
5,2782300125-02
6,2782300090-02
7,2782300090-01
8,2782300038-02
9,2782300030-01
10,2782300026-01
11,2782300105-02
12,2782300126-02
13,2782300030-02
14,2782300021-02
15,2782300041-03
16,2782300073-01
17,2782300005-01
18,2782300096-02
19,2782300126-01
20,2782300157-01
21,2782300050-02
22,2782300030-04
23,2782300028-02
24,2782300037-02
25,2782300130-01
26,2782300125-01
27,2782300127-01
28,2782300116-04
29,2782300039-01
30,2782300011-01
31,2782300090-03
32,2782300008-01
33,2782300049-01
34,2782300072-01
35,2782300072-02
36,2782300099-02
37,2782300011-04
38,2782300038-01
39,2782300090-04
40,2782300114-02
41,2782300125-03
42,2782300130-02
43,1782300144-01
44,2782300159-02
45,2782300159-01
46,1782300148-01
47,2782300157-01
48,2782300161-01
49,1782300147-01
50,2782300161-02
51,2782300105-01
52,2782300050-01
53,2782300096-03
54,2782300041-01
55,2782300030-03
56,2782300028-01
57,1782300020-01
58,1782300039-01
59,2782300138-07
60,1782300131-01
61,1782300087-01
62,1782300117-01
63,2782300142-04
64,1782300128-01
65,1782300128-02
66,2782300007-04
67,2782300118-04
68,2782300114-03
69,2782300114-01
70,2782300021-04
71,27823NA-06
72,2782300139-05
73,2782300008-02
74,2782300016-01
75,2782300007-07
76,2782300002-05
77,2782300002-06
78,2782300002-07
79,2782300007-08
80,2782300016-02
81,2782300073-02
82,2782300073-03
83,2782300073-04
84,2782300071-01
85,2782300071-02
86,2782300071-03
87,2782300007-02
88,2782300007-01
89,2782300047-02
90,2782300136-03
91,2782300147-05
92,2782300138-08
93,2782300021-02
94,2782300011-02
95,2782300099-01
96,2782300007-03
97,2782300037-01
98,2782300041-02
99,2782300039-02
100,2782300026-02
101,2782300162-01
